pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,travel_time,waiting_time,destination_time,distance
1,H,F,64310,64588,1,64310,,HBDF,270,0,64580,3
2,F,H,61770,62048,1,61770,,FDBH,270,0,62040,3
3,G,H,66129,66407,1,66129,,GECH,270,0,66399,3
4,F,G,60468,60656,1,60468,,FJG,180,0,60648,2
5,F,E,82744,83022,1,82744,,FDIE,270,0,83014,3
6,E,A,39613,39838.278,1,39613,,ECA,217.278,0,39830.278,2.4142
7,J,B,29003,29281,1,29003,,JIHB,270,0,29273,3
8,J,B,78728,79006,1,78728,,JIHB,270,0,78998,3
9,I,A,62641,62919,1,62731,,IHA,180,90,62821,2
10,D,A,47924,48149.278,1,47924,,DBA,217.278,0,48141.278,2.4142
11,C,E,62824,62922,1,62824,,CE,90,0,62914,1
12,G,A,82629,82944.278,1,82629,,GECA,307.278,0,82936.278,3.4142
13,F,H,47167,47445,1,47167,,FDBH,270,0,47437,3
14,D,I,29176,29274,1,29176,,DI,90,0,29266,1
15,A,C,55055,55190.278,1,55055,,AC,127.27799999999999,0,55182.278,1.4142
16,D,C,29345,29623,1,29345,,DBHC,270,0,29615,3
17,J,I,65965,66063,1,65965,,JI,90,0,66055,1
18,B,E,37365,37643,1,37365,,BHCE,270,0,37635,3
19,H,G,42216,42494,1,42216,,HCEG,270,0,42486,3
20,E,J,48287,48475,1,48287,,EIJ,180,0,48467,2
21,H,I,78002,78190,1,78092,,HI,90,90,78092,1
22,I,D,34804,34902,1,34804,,ID,90,0,34894,1
23,G,A,48764,49079.278,1,48764,,GECA,307.278,0,49071.278,3.4142
24,J,A,24181,24459,1,24181,,JIHA,270,0,24451,3
25,A,H,45192,45290,1,45192,,AH,90,0,45282,1
26,I,F,73371,73649,1,73461,,IDF,180,90,73551,2
27,B,E,68313,68681,1,68403,,BHCE,270,90,68583,3
28,A,E,73624,73849.278,1,73624,,ACE,217.278,0,73841.278,2.4142
29,J,G,46170,46268,1,46170,,JG,90,0,46260,1
30,H,G,21961,22239,1,21961,,HCEG,270,0,22231,3
31,E,J,71896,72084,1,71896,,EIJ,180,0,72076,2
32,F,C,47117,47485,1,47117,,FDBHC,360,0,47477,4
33,I,F,58522,58710,1,58522,,IDF,180,0,58702,2
34,I,J,31455,31643,1,31545,,IJ,90,90,31545,1
35,I,G,38432,38710,1,38522,,IJG,180,90,38612,2
36,G,C,62255,62443,1,62255,,GEC,180,0,62435,2
37,I,C,23639,23827,1,23639,,IHC,180,0,23819,2
38,A,F,26615,26930.278,1,26615,,ABDF,307.278,0,26922.278,3.4142
39,C,D,25701,25979,1,25701,,CHBD,270,0,25971,3
40,I,F,55651,55929,1,55741,,IDF,180,90,55831,2
41,E,H,72341,72529,1,72341,,ECH,180,0,72521,2
42,D,E,62401,62679,1,62491,,DIE,180,90,62581,2
43,H,A,76846,77034,1,76936,,HA,90,90,76936,1
44,F,C,71476,71844,1,71476,,FDBHC,360,0,71836,4
45,D,B,56516,56616,1,56516,,DB,90,0,56606,1
46,J,B,39878,40156,1,39878,,JIHB,270,0,40148,3
47,H,F,75300,75578,1,75300,,HBDF,270,0,75570,3
48,C,J,54549,54830,1,54549,,CHIJ,270,0,54819,3
49,B,I,65518,65796,1,65608,,BHI,180,90,65698,2
50,C,F,70044,70412,1,70044,,CHBDF,360,0,70404,4
51,B,J,42984,43262,1,42984,,BHIJ,270,0,43254,3
52,A,H,39822,39920,1,39822,,AH,90,0,39912,1
53,G,B,63192,63560,1,63192,,GECHB,360,0,63552,4
54,D,E,44547,44825,1,44637,,DIE,180,90,44727,2
55,A,F,43178,43493.278,1,43178,,ABDF,307.278,0,43485.278,3.4142
56,D,G,74650,74928,1,74650,,DFJG,270,0,74920,3
57,H,I,76009,76197,1,76099,,HI,90,90,76099,1
58,C,A,70030,70165.278,1,70030,,CA,127.27799999999999,0,70157.278,1.4142
59,G,B,68290,68658,1,68290,,GECHB,360,0,68650,4
60,C,H,25950,26048,1,25950,,CH,90,0,26040,1
61,B,D,30821,30919,1,30821,,BD,90,0,30911,1
62,D,A,56695,57010.278,1,56785,,DBA,217.278,90,56912.278,2.4142
63,C,G,25771,25959,1,25771,,CEG,180,0,25951,2
64,D,F,75726,75824,1,75726,,DF,90,0,75816,1
65,D,F,34514,34612,1,34514,,DF,90,0,34604,1
66,H,G,25601,25879,1,25601,,HCEG,270,0,25871,3
67,C,D,61649,61927,1,61649,,CHBD,270,0,61919,3
68,C,A,59409,59544.278,1,59409,,CA,127.27799999999999,0,59536.278,1.4142
69,G,E,83452,83550,1,83452,,GE,90,0,83542,1
70,B,D,44122,44220,1,44122,,BD,90,0,44212,1
71,B,J,31878,32156,1,31878,,BHIJ,270,0,32148,3
72,G,H,58337,58615,1,58337,,GECH,270,0,58607,3
