pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,travel_time,waiting_time,destination_time,distance
1,G,E,43433,43531,1,43433,,GE,90,0,43523,1
2,G,I,73780,73968,1,73780,,GEI,180,0,73960,2
3,I,D,62427,62525,1,62427,,ID,90,0,62517,1
4,J,H,27652,27840,1,27652,,JIH,180,0,27832,2
5,H,E,64646,64834,1,64646,,HCE,180,0,64826,2
6,J,G,42851,42949,1,42851,,JG,90,0,42941,1
7,D,B,45051,45149,1,45051,,DB,90,0,45141,1
8,F,J,72752,72850,1,72752,,FJ,90,0,72842,1
9,A,E,51405,51794.278,1,51569,,ACE,217.278,164,51622.278,2.4142
10,J,I,82682,82780,1,82682,,JI,90,0,82772,1
11,E,F,60183,60551,1,60273,,EIDF,270,90,60453,3
12,C,F,62211,62676,1,62308,,CHBDF,360,97,62571,4
13,E,H,81045,81249,1,81061,,ECH,180,16,81225,2
14,H,F,23785,24063,1,23785,,HBDF,270,0,24055,3
15,J,A,24375,24653,1,24375,,JIHA,270,0,24645,3
16,E,I,56194,56382,1,56284,,EI,90,90,56284,1
17,A,J,76674,77049,1,76767,,AHIJ,270,93,76944,3
18,H,F,23319,23597,1,23319,,HBDF,270,0,23589,3
19,E,F,33259,33540,1,33259,,EIDF,270,0,33529,3
20,E,B,53039,53407,1,53129,,ECHB,270,90,53309,3
21,B,D,27862,27960,1,27862,,BD,90,0,27952,1
22,E,J,49325,49513,1,49325,,EIJ,180,0,49505,2
23,E,C,38114,38212,1,38114,,EC,90,0,38204,1
24,C,A,59337,59552.278,1,59417,,CA,127.27799999999999,80,59464.278,1.4142
25,A,J,57401,57679,1,57401,,AHIJ,270,0,57671,3
26,D,G,38704,38985,1,38704,,DFJG,270,0,38974,3
27,A,I,51847,52087,1,51894,,AHI,180,47,52027,2
28,H,E,84643,84831,1,84643,,HCE,180,0,84823,2
29,D,G,83935,84213,1,83935,,DFJG,270,0,84205,3
30,J,G,37080,37178,1,37080,,JG,90,0,37170,1
31,H,F,43678,44004.278,1,43720,,HBDF,270,42,43948,3
32,C,J,48987,49265,1,48987,,CHIJ,270,0,49257,3
33,J,C,79566,79851,1,79566,,JIHC,270,0,79836,3
34,G,H,35049,35327,1,35049,,GECH,270,0,35319,3
35,D,A,58631,58950.278,1,58721,,DBA,217.278,90,58848.278,2.4142
36,E,J,47608,47817,1,47629,,EIJ,180,21,47788,2
37,B,D,58893,58991,1,58893,,BD,90,0,58983,1
38,J,F,48248,48346,1,48248,,JF,90,0,48338,1
39,G,I,28285,28473,1,28285,,GEI,180,0,28465,2
40,G,I,62259,62447,1,62259,,GEI,180,0,62439,2
41,B,A,62791,62926.278,1,62791,,BA,127.27799999999999,0,62918.278,1.4142
42,I,F,30170,30358,1,30170,,IDF,180,0,30350,2
43,E,B,33983,34261,1,33983,,ECHB,270,0,34253,3
44,G,E,62791,62889,1,62791,,GE,90,0,62881,1
45,F,A,68400,68715.278,1,68400,,FDBA,307.278,0,68707.278,3.4142
46,A,H,45880,46105.278,1,46007.278,,AH,90,127.27799999999843,45970,1
