pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,travel_time,waiting_time,destination_time,distance
1,C,F,31836,32204,1,31836,,CHBDF,360,0,32196,4
2,G,B,27008,27376,1,27008,,GECHB,360,0,27368,4
3,D,E,31788,32066,1,31878,,DIE,180,90,31968,2
4,D,C,49769,50047,1,49769,,DBHC,270,0,50039,3
5,A,F,80289,80604.278,1,80289,,ABDF,307.278,0,80596.278,3.4142
6,B,C,76979,77263,1,77075,,BHC,180,96,77159,2
7,C,D,29170,29448,1,29170,,CHBD,270,0,29440,3
8,H,G,22798,23166,1,22888,,HCEG,270,90,23068,3
9,E,H,80276,80467,1,80276,,ECH,180,0,80456,2
10,A,E,84447,84672.278,1,84447,,ACE,217.278,0,84664.278,2.4142
11,C,I,62375,62563,1,62375,,CHI,180,0,62555,2
12,B,A,81911,82138.278,1,82001,,BA,127.27799999999999,90,82038.278,1.4142
13,H,J,78978,79166,1,78978,,HIJ,180,0,79158,2
14,E,A,25566,25791.278,1,25566,,ECA,217.278,0,25783.278,2.4142
15,J,H,79323,79511,1,79323,,JIH,180,0,79503,2
16,I,F,24722,24910,1,24722,,IDF,180,0,24902,2
17,D,E,51121,51309,1,51121,,DIE,180,0,51301,2
18,C,H,43207,43305,1,43207,,CH,90,0,43297,1
19,B,A,79649,79784.278,1,79649,,BA,127.27799999999999,0,79776.278,1.4142
20,B,J,30839,31220.278,1,30942,,BHIJ,270,103,31109,3
21,E,J,54985,55176.278,1,54985,,EIJ,180,0,55165,2
22,B,E,47683,47961,1,47683,,BHCE,270,0,47953,3
23,B,G,40285,40743,1,40375,,BHCEG,360,90,40645,4
24,B,F,42500,42688,1,42500,,BDF,180,0,42680,2
25,E,I,39231,39329,1,39231,,EI,90,0,39321,1
26,F,E,47191,47469,1,47191,,FDIE,270,0,47461,3
27,J,A,25819,26097,1,25819,,JIHA,270,0,26089,3
28,B,J,64241,64519,1,64241,,BHIJ,270,0,64511,3
29,F,C,22865,23324,1,22956,,FDBHC,360,91,23225,4
30,F,I,38268,38487.278,1,38299.278,,FDI,180,31.27799999999843,38448,2
31,F,J,50642,50740,1,50642,,FJ,90,0,50732,1
32,J,C,84619,84897,1,84619,,JIHC,270,0,84889,3
33,A,G,69086,69401.278,1,69086,,ACEG,307.278,0,69393.278,3.4142
34,I,D,78375,78473,1,78375,,ID,90,0,78465,1
35,G,B,39121,39489,1,39121,,GECHB,360,0,39481,4
36,B,C,67955,68159,1,67971,,BHC,180,16,68135,2
37,C,I,58670,58858,1,58670,,CHI,180,0,58850,2
38,F,E,41128,41406,1,41128,,FDIE,270,0,41398,3
39,J,A,34136,34414,1,34136,,JIHA,270,0,34406,3
40,E,G,69239,69337,1,69239,,EG,90,0,69329,1
41,H,G,82503,82781,1,82503,,HCEG,270,0,82773,3
42,A,D,42696,43011.278,1,42786,,ABD,217.278,90,42913.278,2.4142
43,B,J,39757,40035,1,39757,,BHIJ,270,0,40027,3
44,G,I,81327,81515,1,81327,,GEI,180,0,81507,2
45,F,D,40276,40464,1,40366,,FD,90,90,40366,1
46,B,F,61892,62080,1,61892,,BDF,180,0,62072,2
47,J,D,69109,69301.278,1,69109,,JID,180,0,69289,2
48,I,E,42215,42313,1,42215,,IE,90,0,42305,1
49,D,B,37951,38055,1,37951,,DB,90,0,38041,1
50,B,F,69119,69397,1,69209,,BDF,180,90,69299,2
51,F,D,38652,38844.278,1,38746.278,,FD,90,94.27799999999843,38742,1
52,J,H,60299,60487,1,60299,,JIH,180,0,60479,2
53,E,H,75313,75501,1,75313,,ECH,180,0,75493,2
54,H,F,82503,82785,1,82503,,HBDF,270,0,82773,3
55,J,E,31329,31517,1,31329,,JIE,180,0,31509,2
56,H,G,30098,30386,1,30098,,HCEG,270,0,30368,3
57,F,C,78974,79342,1,78974,,FDBHC,360,0,79334,4
58,A,H,25626,25724,1,25626,,AH,90,0,25716,1
59,B,D,79768,79866,1,79768,,BD,90,0,79858,1
60,B,E,81626,81996,1,81718,,BHCE,270,92,81896,3
61,C,A,40247,40382.278,1,40247,,CA,127.27799999999999,0,40374.278,1.4142
62,B,J,75189,75557,1,75279,,BHIJ,270,90,75459,3
63,D,E,64285,64473,1,64285,,DIE,180,0,64465,2
64,D,G,35697,35975,1,35697,,DFJG,270,0,35967,3
65,G,H,77077,77355,1,77077,,GECH,270,0,77347,3
66,B,G,49817,50211,1,49843,,BHCEG,360,26,50177,4
67,B,H,76365,76553,1,76455,,BH,90,90,76455,1
