pid,arrival_stop,destination_stop,arrival_time,destination_time,distance,pod_id,pod_arrival_time,pod_current_loc,travel_distance,waiting_time,pod_final_time,empty_km,nonempty_km
2891,J,B,21600,21870,3.0,0,21600.0,J,0.0,0,21874.0,0.0,3.0
2363,E,H,21601,21781,2.0,1,21601.0,E,0.0,0,21785.0,0.0,2.0
1035,A,G,21710,22017,3.4142,2,21710.0,A,0.0,0,22021.278,0.0,3.4142
710,B,G,21712,22072,4.0,3,21712.0,B,0.0,0,22076.0,0.0,4.0
2598,G,E,21714,21804,1.0,4,21714.0,G,0.0,0,21808.0,0.0,1.0
1057,A,I,21722,21902,2.0,5,21722.0,A,0.0,0,21906.0,0.0,2.0
2600,I,B,21732,21912,2.0,6,21732.0,I,0.0,0,21916.0,0.0,2.0
1763,D,G,21743,22013,3.0,7,21743.0,D,0.0,0,22017.0,0.0,3.0
1063,E,B,21750,22020,3.0,8,21750.0,E,0.0,0,22024.0,0.0,3.0
2717,J,A,21772,22042,3.0,9,21772.0,J,0.0,0,22046.0,0.0,3.0
413,C,J,21812,22082,3.0,10,21812.0,C,0.0,0,22086.0,0.0,3.0
666,A,B,21829,21956,1.4142,11,21829.0,A,0.0,0,21960.278,0.0,1.4142
523,F,B,21830,22010,2.0,12,21830.0,F,0.0,0,22014.0,0.0,2.0
1298,C,E,21839,21929,1.0,13,21839.0,C,0.0,0,21933.0,0.0,1.0
757,H,B,21841,21931,1.0,1,21841.0,H,0.0,0,21935.0,0.0,1.0
584,D,G,21860,22130,3.0,14,21860.0,D,0.0,0,22134.0,0.0,3.0
2965,J,A,21864,22134,3.0,15,21864.0,J,0.0,0,22138.0,0.0,3.0
1601,A,J,21907,22177,3.0,16,21907.0,A,0.0,0,22181.0,0.0,3.0
158,C,I,21949,22129,2.0,17,21949.0,C,0.0,0,22133.0,0.0,2.0
882,H,B,21972,22062,1.0,18,21972.0,H,0.0,0,22066.0,0.0,1.0
1688,B,H,22003,22093,1.0,0,22003.0,B,0.0,0,22097.0,0.0,1.0
1681,D,J,22085,22265,2.0,19,22085.0,D,0.0,0,22269.0,0.0,2.0
1575,J,D,22113,22293,2.0,10,22113.0,J,0.0,0,22297.0,0.0,2.0
2744,C,E,22153,22243,1.0,20,22153.0,C,0.0,0,22247.0,0.0,1.0
1168,D,J,22188,22368,2.0,21,22188.0,D,0.0,0,22372.0,0.0,2.0
302,G,J,22229,22319,1.0,7,22229.0,G,0.0,0,22323.0,0.0,1.0
1872,G,D,22257,22527,3.0,2,22257.0,G,0.0,0,22531.0,0.0,3.0
2317,I,F,22275,22455,2.0,5,22275.0,I,0.0,0,22459.0,0.0,2.0
2111,E,C,22342,22432,1.0,4,22342.0,E,0.0,0,22436.0,0.0,1.0
2652,E,B,22352,22622,3.0,13,22352.0,E,0.0,0,22626.0,0.0,3.0
2603,F,D,22361,22451,1.0,22,22361.0,F,0.0,0,22455.0,0.0,1.0
1069,I,J,22361,22451,1.0,17,22361.0,I,0.0,0,22455.0,0.0,1.0
