pid,arrival_stop,destination_stop,arrival_time,destination_time,distance,pod_id,pod_arrival_time,pod_current_loc,travel_distance,waiting_time,pod_final_time,empty_km,nonempty_km
3071,G,D,21606,21876,3.0,0,21606.0,G,0.0,0,21880.0,0.0,3.0
4677,H,J,21611,21791,2.0,1,21611.0,H,0.0,0,21795.0,0.0,2.0
1005,C,I,21613,21793,2.0,2,21613.0,C,0.0,0,21797.0,0.0,2.0
2723,E,G,21617,21707,1.0,3,21617.0,E,0.0,0,21711.0,0.0,1.0
4253,G,F,21632,21812,2.0,4,21632.0,G,0.0,0,21816.0,0.0,2.0
2115,F,A,21633,21940,3.4142,5,21633.0,F,0.0,0,21944.278,0.0,3.4142
995,E,C,21675,21765,1.0,6,21675.0,E,0.0,0,21769.0,0.0,1.0
4142,B,I,21682,21862,2.0,7,21682.0,B,0.0,0,21866.0,0.0,2.0
1536,I,E,21694,21784,1.0,8,21694.0,I,0.0,0,21788.0,0.0,1.0
3540,H,C,21733,21823,1.0,9,21733.0,H,0.0,0,21827.0,0.0,1.0
3362,J,C,21739,22009,3.0,10,21739.0,J,0.0,0,22013.0,0.0,3.0
2508,C,B,21743,21923,2.0,11,21743.0,C,0.0,0,21927.0,0.0,2.0
2324,E,C,21753,21843,1.0,12,21753.0,E,0.0,0,21847.0,0.0,1.0
1152,J,I,21763,21853,1.0,13,21763.0,J,0.0,0,21857.0,0.0,1.0
4215,I,A,21771,21951,2.0,14,21771.0,I,0.0,0,21955.0,0.0,2.0
2974,A,F,21792,22099,3.4142,15,21792.0,A,0.0,0,22103.278,0.0,3.4142
3205,D,C,21802,22072,3.0,16,21802.0,D,0.0,0,22076.0,0.0,3.0
112,B,F,21803,21983,2.0,17,21803.0,B,0.0,0,21987.0,0.0,2.0
4906,D,F,21814,21904,1.0,18,21814.0,D,0.0,0,21908.0,0.0,1.0
3299,D,G,21822,22092,3.0,19,21822.0,D,0.0,0,22096.0,0.0,3.0
3720,D,J,21823,22003,2.0,20,21823.0,D,0.0,0,22007.0,0.0,2.0
1067,F,C,21853,22213,4.0,4,21853.0,F,0.0,0,22217.0,0.0,4.0
3038,C,D,21864,22134,3.0,6,21864.0,C,0.0,0,22138.0,0.0,3.0
1252,D,G,21878,22148,3.0,21,21878.0,D,0.0,0,22152.0,0.0,3.0
110,G,E,21887,21977,1.0,3,21887.0,G,0.0,0,21981.0,0.0,1.0
4058,I,B,21888,22068,2.0,2,21888.0,I,0.0,0,22072.0,0.0,2.0
1670,F,J,21893,21983,1.0,22,21893.0,F,0.0,0,21987.0,0.0,1.0
4292,G,D,21894,22164,3.0,23,21894.0,G,0.0,0,22168.0,0.0,3.0
2774,B,G,21901,22261,4.0,24,21901.0,B,0.0,0,22265.0,0.0,4.0
408,A,G,21904,22211,3.4142,25,21904.0,A,0.0,0,22215.278,0.0,3.4142
2188,A,H,21905,21995,1.0,26,21905.0,A,0.0,0,21999.0,0.0,1.0
92,D,G,21918,22188,3.0,0,21918.0,D,0.0,0,22192.0,0.0,3.0
123,H,G,21926,22196,3.0,27,21926.0,H,0.0,0,22200.0,0.0,3.0
3414,C,E,21938,22028,1.0,9,21938.0,C,0.0,0,22032.0,0.0,1.0
1423,H,E,21953,22133,2.0,28,21953.0,H,0.0,0,22137.0,0.0,2.0
1486,H,C,21959,22049,1.0,29,21959.0,H,0.0,0,22053.0,0.0,1.0
4701,B,J,21973,22243,3.0,11,21973.0,B,0.0,0,22247.0,0.0,3.0
4007,D,C,21978,22248,3.0,30,21978.0,D,0.0,0,22252.0,0.0,3.0
468,C,H,21999,22089,1.0,12,21999.0,C,0.0,0,22093.0,0.0,1.0
2951,H,E,22003,22183,2.0,26,22003.0,H,0.0,0,22187.0,0.0,2.0
288,F,H,22011,22281,3.0,18,22011.0,F,0.0,0,22285.0,0.0,3.0
1572,I,B,22059,22239,2.0,13,22059.0,I,0.0,0,22243.0,0.0,2.0
866,F,H,22072,22342,3.0,17,22072.0,F,0.0,0,22346.0,0.0,3.0
1162,C,B,22080,22260,2.0,10,22080.0,C,0.0,0,22264.0,0.0,2.0
648,C,B,22082,22262,2.0,29,22082.0,C,0.0,0,22266.0,0.0,2.0
1534,F,J,22099,22189,1.0,31,22099.0,F,0.0,0,22193.0,0.0,1.0
2099,H,I,22130,22220,1.0,12,22130.0,H,0.0,0,22224.0,0.0,1.0
1569,G,D,22140,22410,3.0,19,22140.0,G,0.0,0,22414.0,0.0,3.0
2431,C,E,22141,22231,1.0,16,22141.0,C,0.0,0,22235.0,0.0,1.0
147,J,A,22152,22422,3.0,1,22152.0,J,0.0,0,22426.0,0.0,3.0
4244,F,B,22152,22332,2.0,15,22152.0,F,0.0,0,22336.0,0.0,2.0
1708,E,J,22177,22357,2.0,8,22177.0,E,0.0,0,22361.0,0.0,2.0
132,C,G,22179,22359,2.0,32,22179.0,C,0.0,0,22363.0,0.0,2.0
3536,I,C,22247,22427,2.0,7,22247.0,I,0.0,0,22431.0,0.0,2.0
1530,H,I,22251,22341,1.0,33,22251.0,H,0.0,0,22345.0,0.0,1.0
1290,I,F,22252,22432,2.0,12,22252.0,I,0.0,0,22436.0,0.0,2.0
3519,D,A,22287,22504,2.4142,6,22287.0,D,0.0,0,22508.278,0.0,2.4142
1471,C,B,22298,22478,2.0,4,22298.0,C,0.0,0,22482.0,0.0,2.0
3701,G,E,22312,22402,1.0,21,22312.0,G,0.0,0,22406.0,0.0,1.0
4194,A,C,22340,22467,1.4142,5,22340.0,A,0.0,0,22471.278,0.0,1.4142
2152,A,I,22358,22538,2.0,14,22358.0,A,0.0,0,22542.0,0.0,2.0
4713,I,D,22366,22456,1.0,33,22366.0,I,0.0,0,22460.0,0.0,1.0
3408,H,C,22379,22469,1.0,18,22379.0,H,0.0,0,22473.0,0.0,1.0
3212,F,E,22394,22664,3.0,34,22394.0,F,0.0,0,22668.0,0.0,3.0
3812,G,C,22400,22580,2.0,0,22400.0,G,0.0,0,22584.0,0.0,2.0
3852,J,A,22411,22681,3.0,22,22411.0,J,0.0,0,22685.0,0.0,3.0
311,B,I,22413,22593,2.0,2,22413.0,B,0.0,0,22597.0,0.0,2.0
2901,F,B,22415,22595,2.0,35,22415.0,F,0.0,0,22599.0,0.0,2.0
140,A,I,22449,22629,2.0,1,22449.0,A,0.0,0,22633.0,0.0,2.0
1560,F,J,22503,22593,1.0,12,22503.0,F,0.0,0,22597.0,0.0,1.0
1171,G,E,22518,22608,1.0,27,22518.0,G,0.0,0,22612.0,0.0,1.0
3775,G,A,22522,22829,3.4142,25,22522.0,G,0.0,0,22833.278,0.0,3.4142
2495,E,A,22533,22750,2.4142,3,22533.0,E,0.0,0,22754.278,0.0,2.4142
4653,C,B,22536,22716,2.0,30,22536.0,C,0.0,0,22720.0,0.0,2.0
4017,I,J,22559,22649,1.0,14,22559.0,I,0.0,0,22653.0,0.0,1.0
417,F,D,22593,22683,1.0,36,22593.0,F,0.0,0,22687.0,0.0,1.0
2923,I,C,22593,22773,2.0,37,22593.0,I,0.0,0,22777.0,0.0,2.0
1336,D,E,22610,22790,2.0,23,22610.0,D,0.0,0,22794.0,0.0,2.0
3054,D,E,22710,22890,2.0,19,22710.0,D,0.0,0,22894.0,0.0,2.0
3021,C,A,22711,22838,1.4142,7,22711.0,C,0.0,0,22842.278,0.0,1.4142
2737,G,A,22712,23019,3.4142,24,22712.0,G,0.0,0,23023.278,0.0,3.4142
4411,H,F,22727,22997,3.0,17,22727.0,H,0.0,0,23001.0,0.0,3.0
4609,C,I,22737,22917,2.0,5,22737.0,C,0.0,0,22921.0,0.0,2.0
1314,B,E,22755,23025,3.0,13,22755.0,B,0.0,0,23029.0,0.0,3.0
1924,B,H,22761,22851,1.0,10,22761.0,B,0.0,0,22855.0,0.0,1.0
1964,H,B,22770,22860,1.0,38,22770.0,H,0.0,0,22864.0,0.0,1.0
2791,E,I,22775,22865,1.0,9,22775.0,E,0.0,0,22869.0,0.0,1.0
4604,D,H,22775,22955,2.0,33,22775.0,D,0.0,0,22959.0,0.0,2.0
4764,B,D,22775,22865,1.0,29,22775.0,B,0.0,0,22869.0,0.0,1.0
8,H,G,22798,23068,3.0,39,22798.0,H,0.0,0,23072.0,0.0,3.0
3000,G,F,22798,22978,2.0,32,22798.0,G,0.0,0,22982.0,0.0,2.0
3258,I,C,22817,22997,2.0,2,22817.0,I,0.0,0,23001.0,0.0,2.0
1775,J,B,22835,23105,3.0,20,22835.0,J,0.0,0,23109.0,0.0,3.0
2780,F,J,22862,22952,1.0,40,22862.0,F,0.0,0,22956.0,0.0,1.0
29,F,C,22865,23225,4.0,41,22865.0,F,0.0,0,23229.0,0.0,4.0
