pid,arrival_stop,destination_stop,arrival_time,destination_time,distance,pod_id,pod_arrival_time,pod_current_loc,travel_distance,waiting_time,pod_final_time,empty_km,nonempty_km
382,B,C,21734,21914,2.0,0,21734,B,0,0,21918.0,0,2.0
365,B,G,21796,22156,4.0,1,21796,B,0,0,22160.0,0,4.0
253,C,H,21874,21964,1.0,2,21874,C,0,0,21968.0,0,1.0
227,I,A,21990,22170,2.0,3,21990,I,0,0,22174.0,0,2.0
122,H,C,22084,22174,1.0,2,22084,H,0,0,22178.0,0,1.0
154,G,F,23120,23300,2.0,1,23120,G,0,0,23304.0,0,2.0
304,E,D,23186,23366,2.0,4,23186,E,0,0,23370.0,0,2.0
166,I,J,23249,23339,1.0,5,23249,I,0,0,23343.0,0,1.0
351,E,H,23317,23497,2.0,6,23317,E,0,0,23501.0,0,2.0
342,F,I,23386,23566,2.0,1,23386,F,0,0,23570.0,0,2.0
226,H,D,23407,23587,2.0,7,23407,H,0,0,23591.0,0,2.0
159,A,D,23410,23627,2.4142,3,23410,A,0,0,23631.278,0,2.4142
236,G,D,23690,23960,3.0,8,23690,G,0,0,23964.0,0,3.0
322,D,A,23714,23931,2.4142,4,23714,D,0,0,23935.278,0,2.4142
375,J,A,23960,24230,3.0,5,23960,J,0,0,24234.0,0,3.0
194,B,F,23961,24141,2.0,9,23961,B,0,0,24145.0,0,2.0
130,I,F,24002,24182,2.0,1,24002,I,0,0,24186.0,0,2.0
246,A,E,24909,25126,2.4142,4,24909,A,0,0,25130.278,0,2.4142
316,C,B,24926,25106,2.0,0,24926,C,0,0,25110.0,0,2.0
71,J,D,25021,25201,2.0,10,25021,J,0,0,25205.0,0,2.0
77,G,J,25221,25311,1.0,11,25221,G,0,0,25315.0,0,1.0
126,I,F,25470,25650,2.0,12,25470,I,0,0,25654.0,0,2.0
32,B,H,25549,25639,1.0,0,25549,B,0,0,25643.0,0,1.0
293,D,I,25698,25788,1.0,7,25698,D,0,0,25792.0,0,1.0
25,E,B,25879,26149,3.0,4,25879,E,0,0,26153.0,0,3.0
315,G,E,25990,26080,1.0,13,25990,G,0,0,26084.0,0,1.0
155,E,F,26475,26745,3.0,13,26475,E,0,0,26749.0,0,3.0
373,G,J,26894,26984,1.0,14,26894,G,0,0,26988.0,0,1.0
98,E,B,26974,27244,3.0,15,26974,E,0,0,27248.0,0,3.0
16,F,C,27121,27481,4.0,9,27121,F,0,0,27485.0,0,4.0
187,B,A,27329,27456,1.4142,4,27329,B,0,0,27460.278,0,1.4142
139,B,J,27484,27754,3.0,15,27484,B,0,0,27758.0,0,3.0
15,H,B,27509,27599,1.0,6,27509,H,0,0,27603.0,0,1.0
135,H,I,27831,27921,1.0,0,27831,H,0,0,27925.0,0,1.0
197,H,G,27865,28135,3.0,16,27865,H,0,0,28139.0,0,3.0
353,H,A,28173,28263,1.0,17,28173,H,0,0,28267.0,0,1.0
78,I,F,28344,28524,2.0,7,28344,I,0,0,28528.0,0,2.0
326,D,J,28358,28538,2.0,3,28358,D,0,0,28542.0,0,2.0
104,B,H,28480,28570,1.0,6,28480,B,0,0,28574.0,0,1.0
