pid,arrival_stop,destination_stop,arrival_time,destination_time,distance,pod_id,pod_arrival_time,pod_current_loc,travel_distance,waiting_time,pod_final_time,empty_km,nonempty_km
315,I,B,21623,21803,2.0,0,21623,I,0,0,21807.0,0,2.0
159,E,H,21703,21883,2.0,1,21703,E,0,0,21887.0,0,2.0
624,B,C,21730,21910,2.0,2,21730,B,0,0,21914.0,0,2.0
413,G,J,21738,21828,1.0,3,21738,G,0,0,21832.0,0,1.0
189,H,F,21766,22036,3.0,4,21766,H,0,0,22040.0,0,3.0
697,F,I,21799,21979,2.0,5,21799,F,0,0,21983.0,0,2.0
191,H,A,21820,21910,1.0,6,21820,H,0,0,21914.0,0,1.0
30,H,G,21961,22231,3.0,1,21961,H,0,0,22235.0,0,3.0
92,C,J,22228,22498,3.0,2,22228,C,0,0,22502.0,0,3.0
153,E,B,22307,22577,3.0,7,22307,E,0,0,22581.0,0,3.0
346,A,C,22377,22504,1.4142,6,22377,A,0,0,22508.278,0,1.4142
547,F,I,22382,22562,2.0,4,22382,F,0,0,22566.0,0,2.0
880,I,B,22409,22589,2.0,5,22409,I,0,0,22593.0,0,2.0
235,G,D,22593,22863,3.0,1,22593,G,0,0,22867.0,0,3.0
445,I,F,22685,22865,2.0,4,22685,I,0,0,22869.0,0,2.0
566,B,F,22703,22883,2.0,0,22703,B,0,0,22887.0,0,2.0
496,I,A,22709,22889,2.0,8,22709,I,0,0,22893.0,0,2.0
678,B,C,22789,22969,2.0,7,22789,B,0,0,22973.0,0,2.0
591,J,C,22795,23065,3.0,3,22795,J,0,0,23069.0,0,3.0
117,E,B,22910,23180,3.0,9,22910,E,0,0,23184.0,0,3.0
97,H,B,22917,23007,1.0,10,22917,H,0,0,23011.0,0,1.0
895,B,H,23012,23102,1.0,5,23012,B,0,0,23106.0,0,1.0
569,C,J,23121,23391,3.0,6,23121,C,0,0,23395.0,0,3.0
499,D,C,23237,23507,3.0,1,23237,D,0,0,23511.0,0,3.0
