pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,travel_time,waiting_time,destination_time,distance
1,E,I,82362,82460,1,82362,,EI,90,0,82452,1
2,F,G,67187,67375,1,67187,,FJG,180,0,67367,2
3,E,D,70536,70726,1,70536,,EID,180,0,70716,2
4,F,C,70289,70657,1,70289,,FDBHC,360,0,70649,4
5,E,D,61072,61350,1,61162,,EID,180,90,61252,2
6,G,A,72346,72661.278,1,72346,,GECA,307.278,0,72653.278,3.4142
7,E,J,45674,45862,1,45674,,EIJ,180,0,45854,2
8,E,F,86284,86562,1,86284,,EIDF,270,0,86554,3
9,C,F,37832,38290,1,37922,,CHBDF,360,90,38192,4
10,G,C,38039,38227,1,38039,,GEC,180,0,38219,2
11,E,H,31167,31358,1,31167,,ECH,180,0,31347,2
12,J,D,72878,73066,1,72878,,JID,180,0,73058,2
13,I,B,56652,56840,1,56652,,IHB,180,0,56832,2
14,C,I,71780,71968,1,71780,,CHI,180,0,71960,2
15,F,I,57308,57496,1,57308,,FDI,180,0,57488,2
16,I,H,79875,79976,1,79875,,IH,90,0,79965,1
17,H,I,23618,23806,1,23708,,HI,90,90,23708,1
18,H,E,77752,77940,1,77752,,HCE,180,0,77932,2
19,H,E,83252,83440,1,83252,,HCE,180,0,83432,2
20,C,I,52382,52570,1,52382,,CHI,180,0,52562,2
21,J,A,77310,77588,1,77310,,JIHA,270,0,77580,3
22,A,I,75350,75640.278,1,75452.278,,AHI,180,102.2780000000057,75530,2
23,J,I,62211,62309,1,62211,,JI,90,0,62301,1
24,C,D,24505,24783,1,24505,,CHBD,270,0,24775,3
25,H,B,57353,57451,1,57353,,HB,90,0,57443,1
26,G,E,28325,28423,1,28325,,GE,90,0,28415,1
27,G,F,22820,23008,1,22820,,GJF,180,0,23000,2
28,I,A,37664,37852,1,37664,,IHA,180,0,37844,2
29,D,G,58557,58835,1,58557,,DFJG,270,0,58827,3
30,E,I,53524,53622,1,53524,,EI,90,0,53614,1
31,B,C,25046,25234,1,25046,,BHC,180,0,25226,2
32,I,F,35417,35608,1,35417,,IDF,180,0,35597,2
33,C,J,76487,76765,1,76487,,CHIJ,270,0,76757,3
34,G,E,82012,82110,1,82012,,GE,90,0,82102,1
35,I,B,84047,84235,1,84047,,IHB,180,0,84227,2
36,G,E,68469,68657,1,68559,,GE,90,90,68559,1
37,J,B,56393,56671,1,56393,,JIHB,270,0,56663,3
38,B,I,46214,46404,1,46214,,BHI,180,0,46394,2
39,G,B,24870,25238,1,24870,,GECHB,360,0,25230,4
40,F,J,36756,36854,1,36756,,FJ,90,0,36846,1
41,D,B,64110,64208,1,64110,,DB,90,0,64200,1
42,G,C,41633,41821,1,41633,,GEC,180,0,41813,2
43,D,F,85360,85462,1,85360,,DF,90,0,85450,1
44,A,B,26678,26903.278,1,26768,,AB,127.27799999999999,90,26805.278,1.4142
45,B,A,40955,41090.278,1,40955,,BA,127.27799999999999,0,41082.278,1.4142
46,B,D,81696,81794,1,81696,,BD,90,0,81786,1
47,D,I,50974,51072,1,50974,,DI,90,0,51064,1
48,I,G,74395,74583,1,74395,,IJG,180,0,74575,2
49,E,H,82766,82954,1,82766,,ECH,180,0,82946,2
50,J,D,75184,75372,1,75184,,JID,180,0,75364,2
51,B,C,55696,55974,1,55786,,BHC,180,90,55876,2
52,H,E,58901,59111,1,58923,,HCE,180,22,59081,2
