pid,arrival_stop,destination_stop,arrival_time,destination_time,distance,pod_id,pod_arrival_time,pod_current_loc,travel_distance,waiting_time,pod_final_time,empty_km,nonempty_km
2214,F,J,21603,21693,1.0,0,21603.0,F,0.0,0,21697.0,0.0,1.0
4970,J,B,21606,21876,3.0,1,21606.0,J,0.0,0,21880.0,0.0,3.0
2001,G,H,21609,21879,3.0,2,21609.0,G,0.0,0,21883.0,0.0,3.0
4384,E,H,21609,21789,2.0,3,21609.0,E,0.0,0,21793.0,0.0,2.0
5910,I,B,21621,21801,2.0,4,21621.0,I,0.0,0,21805.0,0.0,2.0
7375,J,H,21621,21801,2.0,5,21621.0,J,0.0,0,21805.0,0.0,2.0
1185,C,F,21625,21985,4.0,6,21625.0,C,0.0,0,21989.0,0.0,4.0
4943,F,I,21635,21815,2.0,7,21635.0,F,0.0,0,21819.0,0.0,2.0
5968,F,G,21648,21828,2.0,8,21648.0,F,0.0,0,21832.0,0.0,2.0
7070,E,H,21648,21828,2.0,9,21648.0,E,0.0,0,21832.0,0.0,2.0
5021,B,J,21659,21929,3.0,10,21659.0,B,0.0,0,21933.0,0.0,3.0
1661,J,B,21661,21931,3.0,11,21661.0,J,0.0,0,21935.0,0.0,3.0
2261,G,A,21666,21973,3.4142,12,21666.0,G,0.0,0,21977.278,0.0,3.4142
4908,E,C,21669,21759,1.0,13,21669.0,E,0.0,0,21763.0,0.0,1.0
7813,C,G,21673,21853,2.0,14,21673.0,C,0.0,0,21857.0,0.0,2.0
5158,J,G,21675,21765,1.0,15,21675.0,J,0.0,0,21769.0,0.0,1.0
5065,G,B,21701,22061,4.0,16,21701.0,G,0.0,0,22065.0,0.0,4.0
7698,E,A,21702,21919,2.4142,17,21702.0,E,0.0,0,21923.278,0.0,2.4142
5141,E,F,21711,21981,3.0,18,21711.0,E,0.0,0,21985.0,0.0,3.0
466,G,B,21737,22097,4.0,19,21737.0,G,0.0,0,22101.0,0.0,4.0
6326,C,A,21741,21868,1.4142,20,21741.0,C,0.0,0,21872.278,0.0,1.4142
2630,D,A,21764,21981,2.4142,21,21764.0,D,0.0,0,21985.278,0.0,2.4142
5475,A,C,21779,21906,1.4142,22,21779.0,A,0.0,0,21910.278,0.0,1.4142
6249,H,I,21788,21878,1.0,23,21788.0,H,0.0,0,21882.0,0.0,1.0
3728,D,E,21790,21970,2.0,24,21790.0,D,0.0,0,21974.0,0.0,2.0
3889,J,H,21811,21991,2.0,0,21811.0,J,0.0,0,21995.0,0.0,2.0
7097,A,D,21812,22029,2.4142,25,21812.0,A,0.0,0,22033.278,0.0,2.4142
4963,E,D,21840,22020,2.0,26,21840.0,E,0.0,0,22024.0,0.0,2.0
