pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,travel_time,waiting_time,destination_time,distance
98,E,B,26974,27342,1,27064,,ECHB,270,90,27244,3
99,G,J,68002,68100,1,68002,,GJ,90,0,68092,1
100,D,G,61340,61618,1,61340,,DFJG,270,0,61610,3
101,J,A,47511,47789,1,47511,,JIHA,270,0,47781,3
102,J,H,63041,63229,1,63041,,JIH,180,0,63221,2
103,F,J,56686,56784,1,56686,,FJ,90,0,56776,1
104,B,H,28480,28578,1,28480,,BH,90,0,28570,1
105,F,D,30971,31069,1,30971,,FD,90,0,31061,1
106,H,F,84955,85233,1,84955,,HBDF,270,0,85225,3
107,A,G,71274,71589.278,1,71274,,ACEG,307.278,0,71581.278,3.4142
108,I,D,52307,52405,1,52307,,ID,90,0,52397,1
109,G,E,57870,57968,1,57870,,GE,90,0,57960,1
110,J,F,48921,49019,1,48921,,JF,90,0,49011,1
111,G,D,78362,78640,1,78362,,GEID,270,0,78632,3
112,E,I,30048,30146,1,30048,,EI,90,0,30138,1
113,C,H,62192,62290,1,62192,,CH,90,0,62282,1
114,F,J,47340,47528,1,47430,,FJ,90,90,47430,1
115,J,G,61540,61638,1,61540,,JG,90,0,61630,1
116,C,D,76830,77108,1,76830,,CHBD,270,0,77100,3
117,A,B,74551,74686.278,1,74551,,AB,127.27799999999999,0,74678.278,1.4142
118,D,C,66991,67269,1,66991,,DBHC,270,0,67261,3
119,H,A,68716,68814,1,68716,,HA,90,0,68806,1
120,D,G,41697,41975,1,41697,,DFJG,270,0,41967,3
121,J,F,30483,30581,1,30483,,JF,90,0,30573,1
122,H,C,22084,22182,1,22084,,HC,90,0,22174,1
123,E,B,64548,64829,1,64548,,ECHB,270,0,64818,3
124,F,C,78883,79341,1,78973,,FDBHC,360,90,79243,4
125,I,J,39948,40046,1,39948,,IJ,90,0,40038,1
126,I,F,25470,25658,1,25470,,IDF,180,0,25650,2
127,H,J,80736,80924,1,80736,,HIJ,180,0,80916,2
128,A,E,73705,73930.278,1,73705,,ACE,217.278,0,73922.278,2.4142
