pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,travel_time,waiting_time,destination_time,distance
1,C,A,79199,79334.278,1,79199,,CA,127.27799999999999,0,79326.278,1.4142
2,D,F,30201,30299,1,30201,,DF,90,0,30291,1
3,F,G,38763,38951,1,38763,,FJG,180,0,38943,2
4,D,J,75401,75679,1,75491,,DFJ,180,90,75581,2
5,D,B,46718,46816,1,46718,,DB,90,0,46808,1
6,A,D,38966,39191.278,1,38966,,ABD,217.278,0,39183.278,2.4142
7,H,G,54737,55105,1,54827,,HCEG,270,90,55007,3
8,G,E,66536,66634,1,66536,,GE,90,0,66626,1
9,B,J,27143,27421,1,27143,,BHIJ,270,0,27413,3
10,J,H,21887,22075,1,21887,,JIH,180,0,22067,2
11,H,D,59869,60057,1,59869,,HBD,180,0,60049,2
12,E,B,49436,49714,1,49436,,ECHB,270,0,49706,3
13,J,H,52209,52397,1,52209,,JIH,180,0,52389,2
14,C,B,51328,51516,1,51328,,CHB,180,0,51508,2
15,F,C,30031,30402,1,30031,,FDBHC,360,0,30391,4
16,A,E,53861,54086.278,1,53861,,ACE,217.278,0,54078.278,2.4142
17,H,D,54659,54847,1,54659,,HBD,180,0,54839,2
18,B,I,57146,57334,1,57146,,BHI,180,0,57326,2
19,H,A,40073,40171,1,40073,,HA,90,0,40163,1
20,B,C,72513,72701,1,72513,,BHC,180,0,72693,2
21,E,B,39614,39892,1,39614,,ECHB,270,0,39884,3
22,F,J,48885,48983,1,48885,,FJ,90,0,48975,1
23,A,B,49805,49940.278,1,49805,,AB,127.27799999999999,0,49932.278,1.4142
24,G,B,31361,31729,1,31361,,GECHB,360,0,31721,4
25,G,C,62333,62521,1,62333,,GEC,180,0,62513,2
26,G,A,46976,47291.278,1,46976,,GECA,307.278,0,47283.278,3.4142
27,J,C,65862,66143,1,65862,,JIHC,270,0,66132,3
28,E,J,60478,60666,1,60478,,EIJ,180,0,60658,2
29,I,J,44727,44825,1,44727,,IJ,90,0,44817,1
30,E,I,64567,64665,1,64567,,EI,90,0,64657,1
31,D,G,70258,70536,1,70258,,DFJG,270,0,70528,3
32,G,E,39996,40094,1,39996,,GE,90,0,40086,1
33,B,H,45758,45971,1,45873,,BH,90,115,45848,1
34,G,E,28988,29086,1,28988,,GE,90,0,29078,1
35,H,B,53421,53519,1,53421,,HB,90,0,53511,1
36,D,A,53574,53841.278,1,53616,,DBA,217.278,42,53791.278,2.4142
37,J,E,85843,86031,1,85843,,JIE,180,0,86023,2
38,G,F,75570,75758,1,75570,,GJF,180,0,75750,2
39,F,G,59732,59920,1,59732,,FJG,180,0,59912,2
40,I,C,61302,61490,1,61302,,IHC,180,0,61482,2
41,C,G,41524,41712,1,41524,,CEG,180,0,41704,2
42,H,E,35223,35411,1,35223,,HCE,180,0,35403,2
43,G,J,33294,33392,1,33294,,GJ,90,0,33384,1
44,J,G,30788,30888,1,30788,,JG,90,0,30878,1
45,B,F,61451,61731,1,61541,,BDF,180,90,61631,2
46,A,J,40580,40858,1,40580,,AHIJ,270,0,40850,3
47,H,G,58895,59174,1,58895,,HCEG,270,0,59165,3
48,A,F,77383,77698.278,1,77383,,ABDF,307.278,0,77690.278,3.4142
49,H,C,54244,54342,1,54244,,HC,90,0,54334,1
50,J,F,80760,80858,1,80760,,JF,90,0,80850,1
51,I,H,42467,42565,1,42467,,IH,90,0,42557,1
52,B,G,32523,32891,1,32523,,BHCEG,360,0,32883,4
53,E,B,77634,77912,1,77634,,ECHB,270,0,77904,3
54,A,E,42263,42488.278,1,42263,,ACE,217.278,0,42480.278,2.4142
55,H,J,80595,80783,1,80595,,HIJ,180,0,80775,2
56,H,J,44594,44782,1,44594,,HIJ,180,0,44774,2
57,C,G,29585,29773,1,29585,,CEG,180,0,29765,2
58,F,J,37646,37744,1,37646,,FJ,90,0,37736,1
59,J,G,23946,24044,1,23946,,JG,90,0,24036,1
60,E,H,75857,76045,1,75857,,ECH,180,0,76037,2
61,I,C,22679,22867,1,22679,,IHC,180,0,22859,2
62,A,B,59929,60191.556,1,60056.278,,AB,127.27799999999999,127.27799999999843,60056.278,1.4142
63,J,G,27012,27110,1,27012,,JG,90,0,27102,1
64,C,H,29390,29488,1,29390,,CH,90,0,29480,1
65,C,F,73926,74294,1,73926,,CHBDF,360,0,74286,4
66,F,C,44452,44820,1,44452,,FDBHC,360,0,44812,4
67,H,E,66482,66670,1,66482,,HCE,180,0,66662,2
68,G,C,73914,74102,1,73914,,GEC,180,0,74094,2
69,A,G,62839,63284.556,1,62969.278,,ACEG,307.278,130.27799999999843,63146.278,3.4142
70,B,C,85714,85992,1,85804,,BHC,180,90,85894,2
71,E,I,79814,79912,1,79814,,EI,90,0,79904,1
72,I,E,47446,47544,1,47446,,IE,90,0,47536,1
73,I,F,62116,62304,1,62116,,IDF,180,0,62296,2
74,D,F,42946,43044,1,42946,,DF,90,0,43036,1
75,C,A,57557,57692.278,1,57557,,CA,127.27799999999999,0,57684.278,1.4142
76,E,B,59998,60276,1,59998,,ECHB,270,0,60268,3
77,J,F,71527,71625,1,71527,,JF,90,0,71617,1
78,A,H,55713,55933,1,55835,,AH,90,122,55803,1
