index,step,x,y,retrieval_order
27,4,-40,720,27
27,5,-50,720,27
27,6,-60,720,27
27,7,-70,720,27
27,8,-80,720,27
27,9,-90,720,27
28,0,180,760,28
28,1,170,760,28
28,2,160,760,28
28,3,150,760,28
28,4,140,760,28
28,5,130,760,28
28,6,120,760,28
28,7,110,760,28
28,8,100,760,28
28,9,90,760,28
29,0,360,760,29
29,1,350,760,29
29,2,340,760,29
29,3,330,760,29
29,4,320,760,29
29,5,310,760,29
29,6,300,760,29
29,7,290,760,29
29,8,280,760,29
29,9,270,760,29
30,0,0,560,30
30,1,-10,560,30
30,2,-20,560,30
30,3,-30,560,30
30,4,-40,560,30
30,5,-50,560,30
30,6,-60,560,30
30,7,-70,560,30
30,8,-80,560,30
30,9,-90,560,30
31,0,580,800,31
31,1,570,800,31
31,2,560,800,31
31,3,550,800,31
31,4,540,800,31
31,5,530,800,31
31,6,520,800,31
31,7,510,800,31
31,8,500,800,31
31,9,490,800,31
32,0,400,220,32
32,1,390,220,32
32,2,380,220,32
32,3,370,220,32
32,4,360,220,32
32,5,350,220,32
32,6,340,220,32
32,7,330,220,32
32,8,320,220,32
32,9,310,220,32
33,0,780,800,33
33,1,770,800,33
33,2,760,800,33
33,3,750,800,33
33,4,740,800,33
33,5,730,800,33
33,6,720,800,33
33,7,710,800,33
33,8,700,800,33
33,9,690,800,33
34,0,360,860,34
34,1,350,860,34
34,2,340,860,34
34,3,330,860,34
34,4,320,860,34
34,5,310,860,34
34,6,300,860,34
34,7,290,860,34
34,8,280,860,34
34,9,270,860,34
35,0,0,900,35
35,1,-10,900,35
35,2,-20,900,35
35,3,-30,900,35
35,4,-40,900,35
35,5,-50,900,35
35,6,-60,900,35
35,7,-70,900,35
35,8,-80,900,35
35,9,-90,900,35
36,0,780,920,36
36,1,770,920,36
36,2,760,920,36
36,3,750,920,36
36,4,740,920,36
36,5,730,920,36
36,6,720,920,36
36,7,710,920,36
36,8,700,920,36
36,9,690,920,36
37,0,180,940,37
37,1,170,940,37
37,2,160,940,37
37,3,150,940,37
37,4,140,940,37
37,5,130,940,37
37,6,120,940,37
