index,step,x,y,retrieval_order
27,3,-30,720,27
27,4,-40,720,27
27,5,-50,720,27
27,6,-60,720,27
27,7,-70,720,27
27,8,-80,720,27
27,9,-90,720,27
28,0,540,720,28
28,1,530,720,28
28,2,520,720,28
28,3,510,720,28
28,4,500,720,28
28,5,490,720,28
28,6,480,720,28
28,7,470,720,28
28,8,460,720,28
28,9,450,720,28
29,0,200,500,29
29,1,190,500,29
29,2,180,500,29
29,3,170,500,29
29,4,160,500,29
29,5,150,500,29
29,6,140,500,29
29,7,130,500,29
29,8,120,500,29
29,9,110,500,29
30,0,220,700,30
30,1,210,700,30
30,2,200,700,30
30,3,190,700,30
30,4,180,700,30
30,5,170,700,30
30,6,160,700,30
30,7,150,700,30
30,8,140,700,30
30,9,130,700,30
31,0,300,740,31
31,1,290,740,31
31,2,280,740,31
31,3,270,740,31
31,4,260,740,31
31,5,250,740,31
31,6,240,740,31
31,7,230,740,31
31,8,220,740,31
31,9,210,740,31
32,0,760,840,32
32,1,750,840,32
32,2,740,840,32
32,3,730,840,32
32,4,720,840,32
32,5,710,840,32
32,6,700,840,32
32,7,690,840,32
32,8,680,840,32
32,9,670,840,32
33,0,860,840,33
33,1,850,840,33
33,2,840,840,33
33,3,830,840,33
33,4,820,840,33
33,5,810,840,33
33,6,800,840,33
33,7,790,840,33
33,8,780,840,33
33,9,770,840,33
34,0,0,860,34
34,1,-10,860,34
34,2,-20,860,34
34,3,-30,860,34
34,4,-40,860,34
34,5,-50,860,34
34,6,-60,860,34
34,7,-70,860,34
34,8,-80,860,34
34,9,-90,860,34
35,0,480,860,35
35,1,470,860,35
35,2,460,860,35
35,3,450,860,35
35,4,440,860,35
35,5,430,860,35
35,6,420,860,35
35,7,410,860,35
35,8,400,860,35
35,9,390,860,35
36,0,140,920,36
36,1,130,920,36
36,2,120,920,36
36,3,110,920,36
36,4,100,920,36
36,5,90,920,36
36,6,80,920,36
36,7,70,920,36
36,8,60,920,36
36,9,50,920,36
37,0,640,860,37
37,1,630,860,37
37,2,620,860,37
37,3,610,860,37
37,4,600,860,37
37,5,590,860,37
37,6,580,860,37
37,7,570,860,37
37,8,560,860,37
37,9,550,860,37
38,0,320,920,38
38,1,310,920,38
38,2,300,920,38
38,3,290,920,38
38,4,280,920,38
38,5,270,920,38
38,6,260,920,38
38,7,250,920,38
38,8,240,920,38
38,9,230,920,38
39,0,640,980,39
39,1,630,980,39
39,2,620,980,39
39,3,610,980,39
39,4,600,980,39
39,5,590,980,39
39,6,580,980,39
39,7,570,980,39
39,8,560,980,39
39,9,550,980,39
40,0,420,1020,40
40,1,410,1020,40
40,2,400,1020,40
40,3,390,1020,40
40,4,380,1020,40
40,5,370,1020,40
40,6,360,1020,40
40,7,350,1020,40
40,8,340,1020,40
40,9,330,1020,40
41,0,760,1060,41
41,1,750,1060,41
41,2,740,1060,41
41,3,730,1060,41
41,4,720,1060,41
41,5,710,1060,41
41,6,700,1060,41
41,7,690,1060,41
41,8,680,1060,41
41,9,670,1060,41
42,0,0,1040,42
42,1,-10,1040,42
42,2,-20,1040,42
42,3,-30,1040,42
42,4,-40,1040,42
42,5,-50,1040,42
42,6,-60,1040,42
42,7,-70,1040,42
42,8,-80,1040,42
42,9,-90,1040,42
43,0,320,1100,43
43,1,310,1100,43
43,2,300,1100,43
43,3,290,1100,43
43,4,280,1100,43
43,5,270,1100,43
43,6,260,1100,43
43,7,250,1100,43
43,8,240,1100,43
43,9,230,1100,43
44,0,100,1140,44
44,1,90,1140,44
44,2,80,1140,44
44,3,70,1140,44
44,4,60,1140,44
44,5,50,1140,44
44,6,40,1140,44
44,7,30,1140,44
44,8,20,1140,44
44,9,10,1140,44
45,0,500,1100,45
45,1,490,1100,45
45,2,480,1100,45
45,3,470,1100,45
45,4,460,1100,45
45,5,450,1100,45
45,6,440,1100,45
45,7,430,1100,45
45,8,420,1100,45
45,9,410,1100,45
46,0,580,1160,46
46,1,570,1160,46
46,2,560,1160,46
46,3,550,1160,46
46,4,540,1160,46
46,5,530,1160,46
46,6,520,1160,46
46,7,510,1160,46
46,8,500,1160,46
46,9,490,1160,46
47,0,700,1160,47
47,1,690,1160,47
47,2,680,1160,47
47,3,670,1160,47
47,4,660,1160,47
47,5,650,1160,47
47,6,640,1160,47
47,7,630,1160,47
47,8,620,1160,47
47,9,610,1160,47
48,0,320,1240,48
48,1,310,1240,48
48,2,300,1240,48
48,3,290,1240,48
48,4,280,1240,48
48,5,270,1240,48
48,6,260,1240,48
48,7,250,1240,48
48,8,240,1240,48
48,9,230,1240,48
49,0,480,1300,49
49,1,470,1300,49
49,2,460,1300,49
49,3,450,1300,49
49,4,440,1300,49
49,5,430,1300,49
49,6,420,1300,49
49,7,410,1300,49
49,8,400,1300,49
49,9,390,1300,49
